date,u-vector,v-vector
2010-12-31 19:00:00-05:00,9.3503937,-10.983357
2010-12-31 20:00:00-05:00,11.2965283,0.31317108
2010-12-31 21:00:00-05:00,11.9452398,0.13421618
2010-12-31 22:00:00-05:00,13.9137437,-0.7829277
2010-12-31 23:00:00-05:00,11.1623121,3.69094488
2011-01-01 00:00:00-05:00,8.18718683,0.69345025
2011-01-01 01:00:00-05:00,7.06871868,-8.5450966
2011-01-01 02:00:00-05:00,11.2965283,-6.777917
2011-01-01 03:00:00-05:00,12.3926271,0.73818898
2011-01-01 04:00:00-05:00,12.7057981,-0.8500358
2011-01-01 05:00:00-05:00,4.18307087,-10.625447
2011-01-01 06:00:00-05:00,1.76717967,-8.6793128
2011-01-01 07:00:00-05:00,3.28829635,-6.8673944
2011-01-01 08:00:00-05:00,3.8027917,-6.1963135
2011-01-01 09:00:00-05:00,7.31478168,-8.4556192
2011-01-01 10:00:00-05:00,4.7646743,-12.101825
2011-01-01 11:00:00-05:00,5.12258411,3.8027917
2011-01-01 12:00:00-05:00,2.32641374,8.45561918
2011-01-01 13:00:00-05:00,-0.2684324,8.05297065
2011-01-01 14:00:00-05:00,-3.1540802,6.42000716
2011-01-01 15:00:00-05:00,-8.3437724,4.60808876
2011-01-01 16:00:00-05:00,-5.4804939,1.49874732
2011-01-01 17:00:00-05:00,-8.4332498,2.03561203
2011-01-01 18:00:00-05:00,2.50536865,8.43324982
2011-01-01 19:00:00-05:00,-4.317287,9.41750179
2011-01-01 20:00:00-05:00,-0.4026485,8.41088046
2011-01-01 21:00:00-05:00,6.7555476,10.9609878
2011-01-01 22:00:00-05:00,7.40425913,5.59234073
2011-01-01 23:00:00-05:00,13.376879,2.19219757
